0, 600
0, 415
0, 276
0, 220
0, 150
0, 142
0, 120
0, 100
0, 100
0, 85
0, 84
0, 71
0, 69
0, 55
0, 50
0, 50
0, 40
0, 32
0, 20
278, 1227053
2, 635
14, 4046
2, 340
1, 169
9, 964
4, 317
6, 445
2, 134
4, 256
4, 252
15, 939
3, 187
1, 59
8, 426
2, 100
2, 100
2, 100
2, 98
4, 190
14, 560
14, 540
47, 1720
8, 290
7, 236
9, 300
79, 2511
4, 123
6, 177
13, 361
13, 350
21, 561
3, 80
6, 150
4, 100
2, 50
2, 50
12, 292
14, 337
2, 48
6, 137
29, 589
11, 220
5, 100
102, 2009
13, 256
50, 961
6, 113
17, 315
4, 69
6, 100
85, 1409
5, 80
14, 200
6, 81
4, 50
38, 445
3, 30
12, 100
15, 124
15, 121
90, 640
27, 176
15, 97
14, 77
3, 16
10, 51
5, 17
6, 14
7, 16
43, 95
17, 21
